,0
266,tensor(0.8655)
267,tensor(0.8481)
268,tensor(0.9106)
269,tensor(0.9001)
270,tensor(0.9380)
271,tensor(0.8916)
272,tensor(0.9568)
273,tensor(0.8880)
274,tensor(0.9671)
275,tensor(0.9788)
276,tensor(0.9346)
277,tensor(0.8943)
278,tensor(0.9575)
279,tensor(0.8452)
280,tensor(0.9080)
281,tensor(0.8867)
282,tensor(0.8698)
283,tensor(0.9133)
284,tensor(0.8828)
285,tensor(0.9734)
286,tensor(0.8738)
287,tensor(0.8904)
288,tensor(0.9640)
289,tensor(0.8270)
290,tensor(0.9813)
291,tensor(0.8451)
292,tensor(0.8979)
293,tensor(0.9991)
294,tensor(0.9791)
295,tensor(0.8998)
296,tensor(0.8880)
297,tensor(0.9448)
298,tensor(0.9551)
299,tensor(0.9433)
300,tensor(0.9998)
301,tensor(0.9096)
302,tensor(0.8995)
303,tensor(0.9990)
304,tensor(0.9175)
305,tensor(0.8958)
306,tensor(0.8011)
307,tensor(0.9580)
308,tensor(0.9549)
309,tensor(0.8493)
310,tensor(0.9065)
311,tensor(0.9100)
312,tensor(0.9974)
313,tensor(0.8233)
314,tensor(0.9010)
315,tensor(0.9329)
316,tensor(0.9773)
317,tensor(0.9045)
318,tensor(0.9339)
319,tensor(0.8975)
320,tensor(0.9166)
321,tensor(0.8192)
322,tensor(0.9235)
323,tensor(0.9131)
324,tensor(0.9902)
325,tensor(0.9305)
326,tensor(0.8750)
327,tensor(0.9292)
328,tensor(0.8449)
329,tensor(0.8773)
330,tensor(0.8636)
331,tensor(0.8284)
332,tensor(0.8938)
333,tensor(0.8669)
334,tensor(0.8708)
335,tensor(0.8748)
336,tensor(0.8931)
337,tensor(0.8993)
338,tensor(0.8889)
339,tensor(0.8909)
340,tensor(0.8501)
341,tensor(0.9161)
342,tensor(0.9179)
343,tensor(0.8695)
344,tensor(0.8650)
345,tensor(0.9684)
346,tensor(0.9355)
347,tensor(0.8479)
348,tensor(0.8901)
349,tensor(0.9188)
350,tensor(0.8848)
351,tensor(0.9261)
352,tensor(0.9577)
353,tensor(0.9180)
354,tensor(0.8720)
355,tensor(0.9180)
356,tensor(0.9765)
357,tensor(0.8808)
358,tensor(0.8780)
359,tensor(0.9444)
360,tensor(0.9644)
361,tensor(0.8938)
362,tensor(0.8588)
363,tensor(0.8757)
364,tensor(0.8576)
365,tensor(0.9108)
366,tensor(0.9816)
367,tensor(0.8718)
368,tensor(0.8300)
369,tensor(0.9669)
370,tensor(0.8291)
371,tensor(0.9005)
372,tensor(0.9933)
373,tensor(0.8674)
374,tensor(0.8676)
375,tensor(0.8971)
376,tensor(0.9259)
377,tensor(0.8707)
378,tensor(0.8812)
379,tensor(0.9230)
380,tensor(0.9987)
381,tensor(0.9754)
382,tensor(0.9228)
383,tensor(0.9330)
384,tensor(0.8597)
385,tensor(0.8950)
386,tensor(0.8465)
387,tensor(0.9724)
388,tensor(0.8181)
389,tensor(0.9060)
390,tensor(0.9633)
391,tensor(0.9165)
392,tensor(0.9370)
393,tensor(0.8146)
394,tensor(0.9522)
395,tensor(0.8673)
396,tensor(0.8823)
397,tensor(0.9978)
398,tensor(0.8935)
399,tensor(0.9019)
400,tensor(0.9132)
401,tensor(0.9672)
402,tensor(0.9099)
403,tensor(0.8680)
404,tensor(0.9142)
405,tensor(0.9044)
406,tensor(0.9406)
407,tensor(0.9779)
408,tensor(0.9097)
409,tensor(0.9807)
410,tensor(0.9361)
411,tensor(0.8822)
412,tensor(0.8390)
413,tensor(0.9332)
414,tensor(0.8923)
415,tensor(0.8475)
416,tensor(0.9294)
417,tensor(0.9977)
418,tensor(0.8657)
419,tensor(0.9364)
420,tensor(0.9207)
421,tensor(0.9417)
422,tensor(0.8608)
423,tensor(0.9895)
424,tensor(0.8944)
425,tensor(0.9033)
426,tensor(0.9991)
427,tensor(0.8875)
428,tensor(0.9562)
429,tensor(0.9681)
430,tensor(0.9003)
431,tensor(0.8304)
432,tensor(0.8712)
433,tensor(0.9814)
434,tensor(0.9486)
435,tensor(0.8694)
436,tensor(0.8802)
437,tensor(0.9962)
438,tensor(0.9507)
439,tensor(0.8790)
440,tensor(0.9910)
441,tensor(0.8967)
442,tensor(0.8642)
443,tensor(0.8528)
444,tensor(0.8908)
445,tensor(0.8447)
446,tensor(0.8671)
447,tensor(0.9015)
448,tensor(0.9605)
449,tensor(0.9734)
450,tensor(0.9269)
451,tensor(0.8812)
452,tensor(0.8434)
453,tensor(0.9077)
454,tensor(0.8165)
455,tensor(0.9879)
456,tensor(0.8753)
457,tensor(0.8554)
458,tensor(0.8530)
459,tensor(0.8839)
460,tensor(0.9996)
461,tensor(0.8879)
462,tensor(0.8446)
463,tensor(0.9460)
464,tensor(0.8877)
465,tensor(0.9996)
466,tensor(0.8640)
467,tensor(0.9013)
468,tensor(0.9062)
469,tensor(0.9995)
470,tensor(0.9612)
471,tensor(0.9257)
472,tensor(0.9392)
473,tensor(0.9474)
474,tensor(0.8471)
475,tensor(0.9885)
476,tensor(0.8626)
477,tensor(0.9280)
478,tensor(0.8382)
479,tensor(0.9072)
480,tensor(0.8836)
481,tensor(0.9419)
482,tensor(0.9149)
483,tensor(0.8694)
484,tensor(0.8725)
485,tensor(0.8541)
486,tensor(0.9719)
487,tensor(0.9560)
488,tensor(0.9520)
489,tensor(0.8701)
490,tensor(0.8773)
491,tensor(0.9270)
492,tensor(0.8732)
493,tensor(0.8932)
494,tensor(0.9333)
495,tensor(0.9086)
496,tensor(0.8959)
497,tensor(0.8942)
498,tensor(0.9594)
499,tensor(0.9109)
500,tensor(0.9528)
501,tensor(0.8847)
502,tensor(0.9826)
503,tensor(0.9465)
504,tensor(0.9990)
505,tensor(0.9336)
506,tensor(0.9472)
507,tensor(0.9197)
508,tensor(0.8520)
509,tensor(0.8798)
510,tensor(0.8805)
511,tensor(0.9439)
512,tensor(0.8771)
513,tensor(0.9361)
514,tensor(0.9530)
515,tensor(0.9029)
516,tensor(0.8666)
517,tensor(0.9502)
518,tensor(0.9360)
519,tensor(0.9567)
520,tensor(0.8626)
521,tensor(0.9366)
522,tensor(0.8716)
523,tensor(0.8634)
524,tensor(0.8811)
525,tensor(0.8313)
526,tensor(0.9700)
527,tensor(0.9313)
528,tensor(0.9159)
529,tensor(0.9046)
530,tensor(0.9691)
531,tensor(0.9498)
532,tensor(0.9674)
533,tensor(0.9497)
534,tensor(0.9190)
535,tensor(0.9134)
536,tensor(0.8579)
537,tensor(0.9283)
538,tensor(0.8991)
539,tensor(0.9153)
540,tensor(0.9317)
541,tensor(0.9310)
542,tensor(0.8472)
543,tensor(0.8489)
544,tensor(0.8624)
545,tensor(0.9213)
546,tensor(0.8638)
547,tensor(0.8980)
548,tensor(0.9996)
549,tensor(0.8606)
550,tensor(0.8476)
551,tensor(0.8599)
552,tensor(0.8979)
553,tensor(0.8219)
554,tensor(0.9404)
555,tensor(0.9551)
556,tensor(0.8695)
557,tensor(0.9743)
558,tensor(0.8728)
559,tensor(0.9213)
560,tensor(0.9051)
561,tensor(0.9385)
562,tensor(0.9208)
563,tensor(0.8545)
564,tensor(0.9471)
565,tensor(0.9910)
566,tensor(0.8236)
567,tensor(0.8457)
568,tensor(0.9985)
569,tensor(0.8604)
570,tensor(0.8573)
571,tensor(0.9282)
572,tensor(0.9325)
573,tensor(0.9306)
574,tensor(0.8441)
575,tensor(0.8729)
576,tensor(0.8585)
577,tensor(0.9664)
578,tensor(0.8827)
579,tensor(0.8894)
580,tensor(0.8412)
581,tensor(0.9175)
582,tensor(0.9671)
583,tensor(0.9646)
584,tensor(0.9421)
585,tensor(0.9262)
586,tensor(0.9091)
587,tensor(0.9307)
588,tensor(0.8266)
589,tensor(0.8707)
590,tensor(0.9068)
591,tensor(0.8990)
592,tensor(0.8787)
593,tensor(0.8880)
594,tensor(0.9002)
595,tensor(0.8817)
596,tensor(0.8827)
597,tensor(0.8317)
598,tensor(0.9514)
599,tensor(0.9152)
600,tensor(0.8425)
601,tensor(0.8746)
602,tensor(0.9516)
603,tensor(0.8696)
604,tensor(0.9401)
605,tensor(0.8951)
606,tensor(0.9433)
607,tensor(0.9753)
608,tensor(0.9342)
609,tensor(0.9007)
610,tensor(0.8627)
611,tensor(0.9108)
612,tensor(0.9496)
613,tensor(0.9267)
614,tensor(0.9262)
615,tensor(0.9980)
616,tensor(0.8745)
617,tensor(0.9121)
618,tensor(0.8524)
619,tensor(0.8683)
620,tensor(0.8747)
