,0
266,tensor(4.3276)
267,tensor(4.2406)
268,tensor(4.5528)
269,tensor(4.5003)
270,tensor(4.6899)
271,tensor(4.4579)
272,tensor(4.7839)
273,tensor(4.4402)
274,tensor(4.8356)
275,tensor(4.8938)
276,tensor(4.6729)
277,tensor(4.4713)
278,tensor(4.7874)
279,tensor(4.2262)
280,tensor(4.5400)
281,tensor(4.4335)
282,tensor(4.3488)
283,tensor(4.5667)
284,tensor(4.4140)
285,tensor(4.8671)
286,tensor(4.3690)
287,tensor(4.4519)
288,tensor(4.8199)
289,tensor(4.1350)
290,tensor(4.9067)
291,tensor(4.2253)
292,tensor(4.4895)
293,tensor(4.9956)
294,tensor(4.8956)
295,tensor(4.4988)
296,tensor(4.4398)
297,tensor(4.7240)
298,tensor(4.7753)
299,tensor(4.7163)
300,tensor(4.9991)
301,tensor(4.5482)
302,tensor(4.4977)
303,tensor(4.9948)
304,tensor(4.5877)
305,tensor(4.4788)
306,tensor(4.0055)
307,tensor(4.7898)
308,tensor(4.7747)
309,tensor(4.2464)
310,tensor(4.5323)
311,tensor(4.5502)
312,tensor(4.9868)
313,tensor(4.1163)
314,tensor(4.5051)
315,tensor(4.6644)
316,tensor(4.8864)
317,tensor(4.5226)
318,tensor(4.6696)
319,tensor(4.4875)
320,tensor(4.5829)
321,tensor(4.0961)
322,tensor(4.6176)
323,tensor(4.5656)
324,tensor(4.9511)
325,tensor(4.6527)
326,tensor(4.3751)
327,tensor(4.6460)
328,tensor(4.2243)
329,tensor(4.3863)
330,tensor(4.3182)
331,tensor(4.1420)
332,tensor(4.4692)
333,tensor(4.3345)
334,tensor(4.3542)
335,tensor(4.3739)
336,tensor(4.4654)
337,tensor(4.4963)
338,tensor(4.4445)
339,tensor(4.4543)
340,tensor(4.2506)
341,tensor(4.5806)
342,tensor(4.5893)
343,tensor(4.3475)
344,tensor(4.3249)
345,tensor(4.8420)
346,tensor(4.6775)
347,tensor(4.2396)
348,tensor(4.4503)
349,tensor(4.5939)
350,tensor(4.4238)
351,tensor(4.6306)
352,tensor(4.7887)
353,tensor(4.5898)
354,tensor(4.3599)
355,tensor(4.5901)
356,tensor(4.8823)
357,tensor(4.4042)
358,tensor(4.3901)
359,tensor(4.7219)
360,tensor(4.8218)
361,tensor(4.4688)
362,tensor(4.2940)
363,tensor(4.3783)
364,tensor(4.2878)
365,tensor(4.5540)
366,tensor(4.9082)
367,tensor(4.3591)
368,tensor(4.1501)
369,tensor(4.8347)
370,tensor(4.1457)
371,tensor(4.5027)
372,tensor(4.9665)
373,tensor(4.3372)
374,tensor(4.3379)
375,tensor(4.4855)
376,tensor(4.6297)
377,tensor(4.3534)
378,tensor(4.4062)
379,tensor(4.6148)
380,tensor(4.9936)
381,tensor(4.8768)
382,tensor(4.6140)
383,tensor(4.6650)
384,tensor(4.2983)
385,tensor(4.4748)
386,tensor(4.2325)
387,tensor(4.8621)
388,tensor(4.0905)
389,tensor(4.5299)
390,tensor(4.8165)
391,tensor(4.5826)
392,tensor(4.6848)
393,tensor(4.0732)
394,tensor(4.7610)
395,tensor(4.3366)
396,tensor(4.4115)
397,tensor(4.9892)
398,tensor(4.4674)
399,tensor(4.5096)
400,tensor(4.5662)
401,tensor(4.8359)
402,tensor(4.5493)
403,tensor(4.3399)
404,tensor(4.5711)
405,tensor(4.5220)
406,tensor(4.7028)
407,tensor(4.8896)
408,tensor(4.5483)
409,tensor(4.9036)
410,tensor(4.6804)
411,tensor(4.4110)
412,tensor(4.1949)
413,tensor(4.6660)
414,tensor(4.4615)
415,tensor(4.2377)
416,tensor(4.6472)
417,tensor(4.9883)
418,tensor(4.3287)
419,tensor(4.6820)
420,tensor(4.6036)
421,tensor(4.7083)
422,tensor(4.3042)
423,tensor(4.9477)
424,tensor(4.4722)
425,tensor(4.5164)
426,tensor(4.9955)
427,tensor(4.4375)
428,tensor(4.7809)
429,tensor(4.8403)
430,tensor(4.5015)
431,tensor(4.1522)
432,tensor(4.3562)
433,tensor(4.9071)
434,tensor(4.7431)
435,tensor(4.3471)
436,tensor(4.4010)
437,tensor(4.9812)
438,tensor(4.7535)
439,tensor(4.3952)
440,tensor(4.9548)
441,tensor(4.4834)
442,tensor(4.3212)
443,tensor(4.2638)
444,tensor(4.4540)
445,tensor(4.2236)
446,tensor(4.3356)
447,tensor(4.5075)
448,tensor(4.8025)
449,tensor(4.8669)
450,tensor(4.6346)
451,tensor(4.4059)
452,tensor(4.2168)
453,tensor(4.5386)
454,tensor(4.0825)
455,tensor(4.9394)
456,tensor(4.3767)
457,tensor(4.2772)
458,tensor(4.2652)
459,tensor(4.4193)
460,tensor(4.9980)
461,tensor(4.4397)
462,tensor(4.2231)
463,tensor(4.7301)
464,tensor(4.4385)
465,tensor(4.9981)
466,tensor(4.3199)
467,tensor(4.5067)
468,tensor(4.5309)
469,tensor(4.9977)
470,tensor(4.8059)
471,tensor(4.6287)
472,tensor(4.6962)
473,tensor(4.7369)
474,tensor(4.2357)
475,tensor(4.9423)
476,tensor(4.3129)
477,tensor(4.6400)
478,tensor(4.1909)
479,tensor(4.5358)
480,tensor(4.4179)
481,tensor(4.7094)
482,tensor(4.5744)
483,tensor(4.3468)
484,tensor(4.3626)
485,tensor(4.2704)
486,tensor(4.8593)
487,tensor(4.7798)
488,tensor(4.7598)
489,tensor(4.3504)
490,tensor(4.3864)
491,tensor(4.6348)
492,tensor(4.3661)
493,tensor(4.4658)
494,tensor(4.6666)
495,tensor(4.5429)
496,tensor(4.4797)
497,tensor(4.4711)
498,tensor(4.7970)
499,tensor(4.5547)
500,tensor(4.7640)
501,tensor(4.4233)
502,tensor(4.9130)
503,tensor(4.7325)
504,tensor(4.9952)
505,tensor(4.6682)
506,tensor(4.7360)
507,tensor(4.5983)
508,tensor(4.2598)
509,tensor(4.3991)
510,tensor(4.4026)
511,tensor(4.7195)
512,tensor(4.3856)
513,tensor(4.6807)
514,tensor(4.7651)
515,tensor(4.5143)
516,tensor(4.3330)
517,tensor(4.7512)
518,tensor(4.6800)
519,tensor(4.7835)
520,tensor(4.3131)
521,tensor(4.6830)
522,tensor(4.3578)
523,tensor(4.3172)
524,tensor(4.4057)
525,tensor(4.1563)
526,tensor(4.8501)
527,tensor(4.6566)
528,tensor(4.5793)
529,tensor(4.5232)
530,tensor(4.8456)
531,tensor(4.7491)
532,tensor(4.8368)
533,tensor(4.7486)
534,tensor(4.5952)
535,tensor(4.5672)
536,tensor(4.2893)
537,tensor(4.6417)
538,tensor(4.4953)
539,tensor(4.5766)
540,tensor(4.6587)
541,tensor(4.6550)
542,tensor(4.2358)
543,tensor(4.2444)
544,tensor(4.3121)
545,tensor(4.6065)
546,tensor(4.3192)
547,tensor(4.4898)
548,tensor(4.9980)
549,tensor(4.3032)
550,tensor(4.2378)
551,tensor(4.2996)
552,tensor(4.4893)
553,tensor(4.1093)
554,tensor(4.7021)
555,tensor(4.7754)
556,tensor(4.3474)
557,tensor(4.8717)
558,tensor(4.3639)
559,tensor(4.6067)
560,tensor(4.5254)
561,tensor(4.6924)
562,tensor(4.6038)
563,tensor(4.2727)
564,tensor(4.7355)
565,tensor(4.9551)
566,tensor(4.1181)
567,tensor(4.2285)
568,tensor(4.9925)
569,tensor(4.3021)
570,tensor(4.2867)
571,tensor(4.6410)
572,tensor(4.6625)
573,tensor(4.6529)
574,tensor(4.2205)
575,tensor(4.3647)
576,tensor(4.2925)
577,tensor(4.8318)
578,tensor(4.4133)
579,tensor(4.4472)
580,tensor(4.2060)
581,tensor(4.5874)
582,tensor(4.8354)
583,tensor(4.8232)
584,tensor(4.7106)
585,tensor(4.6308)
586,tensor(4.5457)
587,tensor(4.6536)
588,tensor(4.1330)
589,tensor(4.3533)
590,tensor(4.5340)
591,tensor(4.4951)
592,tensor(4.3936)
593,tensor(4.4401)
594,tensor(4.5011)
595,tensor(4.4087)
596,tensor(4.4134)
597,tensor(4.1586)
598,tensor(4.7568)
599,tensor(4.5760)
600,tensor(4.2124)
601,tensor(4.3730)
602,tensor(4.7581)
603,tensor(4.3480)
604,tensor(4.7005)
605,tensor(4.4756)
606,tensor(4.7163)
607,tensor(4.8766)
608,tensor(4.6712)
609,tensor(4.5034)
610,tensor(4.3134)
611,tensor(4.5538)
612,tensor(4.7478)
613,tensor(4.6336)
614,tensor(4.6309)
615,tensor(4.9899)
616,tensor(4.3723)
617,tensor(4.5603)
618,tensor(4.2620)
619,tensor(4.3415)
620,tensor(4.3736)
621,tensor(4.4531)
