,WMD
0,1.3821943405170345
1,3.1978932021961533
2,2.06720497991305
3,2.6302088812420314
4,2.365261817072428
5,2.3103585495281727
6,1.510174678382475
7,0.3986196772394742
8,1.436677045248666
9,1.5336477303776632
10,1.8442096999686173
11,2.133958988666345
12,1.4001643500204055
13,3.496689720788289
14,2.5085729885559926
15,0.9539392748885268
16,1.5409077536107352
17,2.1864054202177208
18,2.2112629917891957
19,2.0530160391488645
20,1.5298015218023917
21,1.8535236546565792
22,3.1805182549494666
23,1.989421350371666
24,2.9198608129531727
25,2.4269969702637444
26,1.6039050666924894
27,1.9077049898489704
28,0.8976374232845307
29,2.40022584573146
30,3.811851898293034
31,2.061949147539752
32,1.231892948257542
33,1.6833350482225162
34,2.2713580644780658
35,1.6935874313660528
36,2.9510849682429074
37,0.7946211918845826
38,2.8913172257591366
39,2.6254244335594588
40,1.7363818412323446
41,1.874038989654556
42,1.9598215288468837
43,1.609484699580103
44,1.6844725977241986
45,3.167794171443865
46,2.768486733908785
47,1.486555878936407
48,1.5544664018928958
49,3.1206005868386484
50,2.2222812471988327
51,2.189321277762005
52,1.0746435062096429
53,1.1298871154296086
54,1.3786842790216922
55,1.9847832899885176
56,1.060137508093154
57,0.9037539530238046
58,2.71237416394235
59,2.851959667114187
60,2.166383128020715
61,1.6496162545281765
62,4.79615753791628
63,1.7104017983781288
64,2.6248355252294564
65,2.6415429281434437
66,1.0667646674520723
67,1.2479648474772616
68,2.7438639113039107
69,2.2194487650570283
70,0.5838746119011837
71,2.562754326585833
72,2.118468643440289
73,1.9789864802607844
74,1.8360369146191693
75,2.1868337576896297
76,0.8976378426346294
77,1.9513847712027732
78,2.126421949787311
79,1.0704215084979691
80,1.5411885207127738
81,0.7851974557044481
82,2.367100346500364
83,0.7333367018546914
84,1.129085107781113
85,1.0212622472225326
86,2.1272082668741774
87,2.9579198303443137
88,0.6244265694640191
89,2.204046416683726
90,3.431311353739339
91,1.7030899622773563
92,1.1601413247928247
93,1.2384592065747098
94,1.1202986008621334
95,1.9677342028857747
96,2.0055229608649365
97,4.362555111302648
98,1.4880086802436656
99,2.3523570318747717
100,2.2992420560745206
101,2.39025674485742
102,2.117505655168781
103,3.0996182765970013
104,3.2466976246284216
105,2.1107424611868066
106,3.681708846547672
107,2.3066406252737917
108,2.3800853928014867
109,2.311358639402312
110,2.4806726868868023
111,2.089322333706229
112,1.6340644617403102
113,2.643927086294278
114,3.1700022932578764
115,1.591849205963954
116,2.9179714436229407
117,2.2469729085957453
118,2.051181118433804
119,1.8282649533744704
120,2.0056134371198566
121,2.578205403257023
122,0.9343052449393424
123,2.1034495486562803
124,2.7319901877592425
125,1.5838417049623157
126,1.6709064965546558
127,1.8314870298700765
128,2.3617063241445946
129,1.5061482266026027
130,3.6409723279914914
131,3.073310764434681
132,1.3772076962941888
133,1.0072256603871037
134,1.6617716881041151
135,2.0765721083337785
136,2.188314275921261
137,1.1381896896395882
138,1.2273188936273849
139,2.393019866925365
140,2.8368886081912272
141,2.6066442219935824
142,2.1267966254405906
143,2.6326289360994153
144,2.8562292873875537
145,3.4794507765562703
146,2.740291289030932
147,3.090821439430837
148,1.2810110411689577
149,2.7237261810627933
150,1.0071623909546277
151,1.5892802026133541
152,1.5553785611618307
153,1.1827307800192468
154,2.103996781568624
155,2.0285083687397183
156,2.130033006684751
157,1.5923010701754654
158,2.1256350468477168
159,2.74484014209135
160,2.6446737635249447
161,2.7748263347324
162,0.7441993726479014
163,4.6000198908755525
164,3.460556057652456
165,3.4658278283767023
166,0.6964824172839421
167,3.098119905740529
168,1.4883286161861335
169,1.3332896384344923
170,0.9944636489688816
171,2.878570011991508
172,1.9548646122333195
173,2.290210888315141
174,0.5385857586944426
175,3.57612559356237
176,1.4653012714738278
177,0.966612879016274
178,2.1436723943854754
179,1.6662441104861256
180,1.0235755389102854
181,3.0468461451975064
182,1.3674776543946112
183,3.529526001767765
184,1.9808550499825164
185,2.608535878152232
186,2.3639429387865074
187,3.2584824433007267
188,0.7638421373736904
189,2.7890492356437315
190,1.2684731526271955
191,2.1366766228855703
192,1.1659386171785304
193,2.48062177369573
194,2.3927012573773503
195,0.7779156236364476
196,2.0282266616302733
197,2.705037801264294
198,0.7371554565663451
199,3.807206846294247
200,1.587512432731331
201,2.2072487783109347
202,2.7269875870573395
203,3.460333827869842
204,2.613149666799373
205,2.9128336963619645
206,2.918699971871465
207,1.9151735421991352
208,1.1017369605475895
209,1.4143090991628189
210,1.8409769927607071
211,2.7920874047400197
212,1.0098430262246132
213,1.5303156020719897
214,2.012934155536122
215,1.3359875346241932
216,1.945900640026177
217,3.5195010032228784
218,2.109574807845085
219,1.7668546205152562
220,2.0211294928132526
221,3.777292663473337
222,2.8716077214546316
223,1.7288114507748598
224,2.315565646610248
225,4.223383661066192
226,1.7173553865086566
227,2.1780353951326097
228,0.9734682682668944
229,1.9517034483232425
230,2.4304538022167987
231,1.2771131672492972
232,0.8530799719035674
233,1.3279835501179365
234,3.4914713095573777
235,1.963061094726196
236,3.2625814092985834
237,0.8620115595933283
238,2.870759122580844
239,3.110813411194245
240,1.469951902964064
241,1.7323587754584835
242,2.2173112166668214
243,2.6211611438819005
244,1.5619822204695508
245,4.315699971077174
246,1.448557374605141
247,0.6480904426260042
248,1.4179494335018887
249,2.5908676601513405
250,1.9221141426174404
251,2.039162156630173
252,1.6143225530955387
253,3.6929075181562014
254,2.6733773294686736
255,2.5496294269557214
256,1.21636353935727
257,0.7210124543390626
258,2.7477102180895527
259,3.288145770341988
260,3.1678271649583016
261,2.630898459308601
262,1.2314370396926222
263,2.0737203931314867
264,3.5506895801225515
265,1.8698398945809729
266,1.5755075346316838
267,1.6279230362764936
268,2.6081041052321976
269,4.4141349327155615
270,2.0824396282510866
271,3.577765724356934
272,2.0398529197454285
273,2.3294823086199035
274,2.5183414302879257
275,1.359306079772715
276,1.0925282771175395
277,4.660972017008357
278,1.4062759925923156
279,2.283563439685992
280,1.8091379213870724
281,1.4844595371609928
282,4.318007632557537
283,1.9662256991388631
284,3.819292537449873
285,2.07531663218192
286,2.594807327374219
287,3.0590889756893778
288,1.4855697528614962
289,1.7607347115144845
290,1.9544032804890343
291,3.3942544734885467
292,1.5458715841530546
293,0.9032334441267816
294,0.9639124164203112
295,1.9395147580791487
296,1.0931099127413366
297,2.192184415045478
298,0.8567539741695319
299,2.104405922790016
300,1.6837153360861368
301,2.7477449587447933
302,1.3675742479934099
303,1.7573304516080894
304,3.18387350399657
305,1.6959482518448248
306,2.65281399280338
307,1.9386638973569688
308,1.4465831408304692
309,2.2785623054794346
310,2.433721264265216
311,1.8251209341890817
312,1.8414437677455322
313,1.3528093296343726
314,2.52034161968499
315,2.663292971978225
316,2.4158224190937045
317,1.9333246702432247
318,3.318994969338229
319,1.86246365617804
320,3.446126207882984
321,2.9735653130082524
322,2.24817729498291
323,1.2187862275390908
324,1.403100579974051
325,2.3874120635086182
326,2.6243335361840296
327,2.3017874919352868
328,3.513892261452675
329,2.6358435048191264
330,2.227240302349394
331,3.000644292111063
332,1.802791863637288
333,2.3753281504325874
334,3.0487816735230315
335,2.3562019820557065
336,2.487467883594521
337,2.6170022598807776
338,1.7561696713862094
339,3.0773040874634283
340,2.4290148199017776
341,1.6817675274222816
