,1-gram_overlap
0,0.6666666666666666
1,0.3333333333333333
2,0.6666666666666666
3,0.0
4,0.5
5,0.0
6,0.5
7,0.5
8,0.3333333333333333
9,0.0
10,0.5714285714285714
11,0.0
12,0.6666666666666666
13,0.0
14,0.8
15,0.5
16,0.0
17,0.0
18,0.4444444444444444
19,0.3333333333333333
20,0.6666666666666666
21,0.6666666666666666
22,0.5
23,0.8
24,0.3636363636363637
25,0.2857142857142857
26,0.0
27,0.6666666666666666
28,0.5
29,0.0
30,0.3333333333333333
31,0.6666666666666666
32,0.75
33,0.0
34,0.5714285714285714
35,0.6666666666666666
36,0.25
37,0.8571428571428571
38,0.0
39,0.4
40,0.2857142857142857
41,0.4
42,0.4
43,0.0
44,0.5
45,0.6666666666666666
46,0.5
47,0.3333333333333333
48,0.5714285714285714
49,0.0
50,0.5
51,0.0
52,0.4444444444444444
53,0.4
54,0.6666666666666666
55,0.4
56,0.75
57,0.6666666666666666
58,0.0
59,0.3333333333333333
60,0.5
61,0.0
62,0.0
63,0.0
64,0.25
65,0.0
66,0.75
67,0.6666666666666666
68,0.5
69,0.3333333333333333
70,0.5
71,0.5
72,0.2857142857142857
73,0.5714285714285714
74,0.3333333333333333
75,0.6666666666666666
76,0.6666666666666666
77,0.3333333333333333
78,0.4444444444444444
79,0.5714285714285714
80,0.8
81,0.6666666666666666
82,0.6666666666666666
83,0.75
84,0.8
85,0.75
86,0.5
87,0.3333333333333333
88,0.6666666666666666
89,0.7272727272727273
90,0.0
91,0.2
92,0.5714285714285714
93,0.2857142857142857
94,0.75
95,0.0
96,0.5
97,0.0
98,0.6666666666666666
99,0.4
100,0.0
101,0.6
102,0.5
103,0.3333333333333333
104,0.3333333333333333
105,0.0
106,0.0
107,0.6666666666666666
108,0.2857142857142857
109,0.5714285714285714
110,0.0
111,0.3333333333333333
112,0.8888888888888888
113,0.5
114,0.4
115,0.75
116,0.2857142857142857
117,0.0
118,0.5714285714285714
119,0.6666666666666666
120,0.3333333333333333
121,0.6666666666666666
122,0.7272727272727273
123,0.5714285714285714
124,0.4
125,0.3333333333333333
126,0.5714285714285714
127,0.6666666666666666
128,0.5
129,0.5
130,0.0
131,0.3333333333333333
132,0.5714285714285714
133,0.6666666666666666
134,0.2857142857142857
135,0.5
136,0.3636363636363637
137,0.5714285714285714
138,0.75
139,0.5714285714285714
140,0.2857142857142857
141,0.2857142857142857
142,0.6666666666666666
143,0.75
144,0.0
145,0.4
146,0.3333333333333333
147,0.0
148,0.8571428571428571
149,0.4
150,0.8
151,0.0
152,0.6666666666666666
153,0.5714285714285714
154,0.6666666666666666
155,0.25
156,0.0
157,0.6666666666666666
158,0.5
159,0.3333333333333333
160,0.5
161,0.2857142857142857
162,0.75
163,0.0
164,0.0
165,0.2857142857142857
166,0.5714285714285714
167,0.0
168,0.6666666666666666
169,0.5714285714285714
170,0.75
171,0.0
172,0.4
173,0.2857142857142857
174,0.75
175,0.4
176,0.5714285714285714
177,0.6666666666666666
178,0.6
179,0.2857142857142857
180,0.4
181,0.0
182,0.6666666666666666
183,0.3333333333333333
184,0.0
185,0.3333333333333333
186,0.0
187,0.5714285714285714
188,0.75
189,0.6666666666666666
